"TIME","GEO","NA_ITEM","AGGREG","Value","Flag and Footnotes"
"2007","European Union (28 countries)","Purchasing power parities (EU28=1)","Gross Domestic Product","1.000000",""
"2007","European Union (28 countries)","Purchasing power parities (EU28=1)","Actual individual consumption","1.000000",""
"2007","European Union (28 countries)","Purchasing power parities (EU28=1)","Food and non-alcoholic beverages","1.00000",""
"2007","European Union (28 countries)","Purchasing power parities (EU28=1)","Food","1.00000",""
"2007","European Union (28 countries)","Purchasing power parities (EU28=1)","Bread and cereals","1.00000",""
"2007","European Union (28 countries)","Purchasing power parities (EU27=1)","Gross Domestic Product","0.998088",""
"2007","European Union (28 countries)","Purchasing power parities (EU27=1)","Actual individual consumption","0.998289",""
"2007","European Union (28 countries)","Purchasing power parities (EU27=1)","Food and non-alcoholic beverages","0.999088",""
"2007","European Union (28 countries)","Purchasing power parities (EU27=1)","Food","0.998941",""
"2007","European Union (28 countries)","Purchasing power parities (EU27=1)","Bread and cereals","0.998748",""
"2007","European Union (28 countries)","Purchasing power parities (EU15=1)","Gross Domestic Product","0.948171",""
"2007","European Union (28 countries)","Purchasing power parities (EU15=1)","Actual individual consumption","0.943291",""
"2007","European Union (28 countries)","Purchasing power parities (EU15=1)","Food and non-alcoholic beverages","0.946791",""
"2007","European Union (28 countries)","Purchasing power parities (EU15=1)","Food","0.943335",""
"2007","European Union (28 countries)","Purchasing power parities (EU15=1)","Bread and cereals","0.941322",""
"2007","European Union (28 countries)","Price level indices (EU28=100)","Gross Domestic Product","100.0",""
"2007","European Union (28 countries)","Price level indices (EU28=100)","Actual individual consumption","100.0",""
"2007","European Union (28 countries)","Price level indices (EU28=100)","Food and non-alcoholic beverages","100.0",""
"2007","European Union (28 countries)","Price level indices (EU28=100)","Food","100.0",""
"2007","European Union (28 countries)","Price level indices (EU28=100)","Bread and cereals","100.0",""
"2007","European Union (28 countries)","Price level indices (EU27=100)","Gross Domestic Product","99.8",""
"2007","European Union (28 countries)","Price level indices (EU27=100)","Actual individual consumption","99.8",""
"2007","European Union (28 countries)","Price level indices (EU27=100)","Food and non-alcoholic beverages","99.9",""
"2007","European Union (28 countries)","Price level indices (EU27=100)","Food","99.9",""
"2007","European Union (28 countries)","Price level indices (EU27=100)","Bread and cereals","99.9",""
"2007","European Union (28 countries)","Price level indices (EU15=100)","Gross Domestic Product","94.8",""
"2007","European Union (28 countries)","Price level indices (EU15=100)","Actual individual consumption","94.3",""
"2007","European Union (28 countries)","Price level indices (EU15=100)","Food and non-alcoholic beverages","94.7",""
"2007","European Union (28 countries)","Price level indices (EU15=100)","Food","94.3",""
"2007","European Union (28 countries)","Price level indices (EU15=100)","Bread and cereals","94.1",""
