"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2007","European Union (28 countries)","Percentage of total","Health","3.3",""
"2007","European Union (28 countries)","Percentage of total","Recreation and culture","9.2",""
"2007","European Union (28 countries)","Percentage of total","Other major durables for recreation and culture","0.4",""
"2007","European Union (28 countries)","Current prices, million euro","Health","239,124.8",""
"2007","European Union (28 countries)","Current prices, million euro","Recreation and culture","660,577.8",""
"2007","European Union (28 countries)","Current prices, million euro","Other major durables for recreation and culture","27,863.0",""
"2007","European Union (28 countries)","Chain linked volumes (2010), million euro","Health","244,674.1",""
"2007","European Union (28 countries)","Chain linked volumes (2010), million euro","Recreation and culture","617,310.7",""
"2007","European Union (28 countries)","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","26,990.1",""
"2007","Belgium","Percentage of total","Health","5.6",""
"2007","Belgium","Percentage of total","Recreation and culture","9.4",""
"2007","Belgium","Percentage of total","Other major durables for recreation and culture","0.2",""
"2007","Belgium","Current prices, million euro","Health","9,416.2",""
"2007","Belgium","Current prices, million euro","Recreation and culture","15,747.0",""
"2007","Belgium","Current prices, million euro","Other major durables for recreation and culture","361.8",""
"2007","Belgium","Chain linked volumes (2010), million euro","Health","10,442.7",""
"2007","Belgium","Chain linked volumes (2010), million euro","Recreation and culture","16,026.6",""
"2007","Belgium","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","375.4",""
"2007","Bulgaria","Percentage of total","Health","4.1",""
"2007","Bulgaria","Percentage of total","Recreation and culture","7.8",""
"2007","Bulgaria","Percentage of total","Other major durables for recreation and culture","0.0",""
"2007","Bulgaria","Current prices, million euro","Health","958.5",""
"2007","Bulgaria","Current prices, million euro","Recreation and culture","1,814.9",""
"2007","Bulgaria","Current prices, million euro","Other major durables for recreation and culture","11.3",""
"2007","Bulgaria","Chain linked volumes (2010), million euro","Health","1,036.5",""
"2007","Bulgaria","Chain linked volumes (2010), million euro","Recreation and culture","1,962.7",""
"2007","Bulgaria","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","12.2",""
"2007","Denmark","Percentage of total","Health","2.7",""
"2007","Denmark","Percentage of total","Recreation and culture","12.2",""
"2007","Denmark","Percentage of total","Other major durables for recreation and culture","0.6",""
"2007","Denmark","Current prices, million euro","Health","2,942.9",""
"2007","Denmark","Current prices, million euro","Recreation and culture","13,176.3",""
"2007","Denmark","Current prices, million euro","Other major durables for recreation and culture","673.0",""
"2007","Denmark","Chain linked volumes (2010), million euro","Health","3,104.5",""
"2007","Denmark","Chain linked volumes (2010), million euro","Recreation and culture","13,176.5",""
"2007","Denmark","Chain linked volumes (2010), million euro","Other major durables for recreation and culture","699.2",""
"2007","Germany (until 1990 former territory of the FRG)","Percentage of total","Health","4.4",""
"2007","Germany (until 1990 former territory of the FRG)","Percentage of total","Recreation and culture","9.6",""
"2007","Germany (until 1990 former territory of the FRG)","Percentage of total","Other major durables for recreation and culture","0.2",""
"2007","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Health","57,376.0",""
"2007","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Recreation and culture","125,746.0",""
