"COICOP","GEO","UNIT","TIME","Value","Flag and Footnotes"
"Total","Belgium","Purchasing power standard (PPS)","2010","31,264",""
"Total","Bulgaria","Purchasing power standard (PPS)","2010","9,334",""
"Total","Denmark","Purchasing power standard (PPS)","2010","28,560",""
"Total","Germany (until 1990 former territory of the FRG)","Purchasing power standard (PPS)","2010","28,367",""
"Total","Greece","Purchasing power standard (PPS)","2010","29,974",""
"Total","France","Purchasing power standard (PPS)","2010","27,627",""
"Total","Italy","Purchasing power standard (PPS)","2010","28,393",""
"Total","Latvia","Purchasing power standard (PPS)","2010","11,381",""
"Total","Luxembourg","Purchasing power standard (PPS)","2010","45,171",""
"Total","Slovenia","Purchasing power standard (PPS)","2010","25,514",""
"Total","Finland","Purchasing power standard (PPS)","2010","26,998",""
"Sports goods and services","Belgium","Purchasing power standard (PPS)","2010","358.3",""
"Sports goods and services","Bulgaria","Purchasing power standard (PPS)","2010","9.2",""
"Sports goods and services","Denmark","Purchasing power standard (PPS)","2010","286.7",""
"Sports goods and services","Germany (until 1990 former territory of the FRG)","Purchasing power standard (PPS)","2010","350",""
"Sports goods and services","Greece","Purchasing power standard (PPS)","2010","157.2",""
"Sports goods and services","France","Purchasing power standard (PPS)","2010","308.7",""
"Sports goods and services","Italy","Purchasing power standard (PPS)","2010","205.3",""
"Sports goods and services","Latvia","Purchasing power standard (PPS)","2010","69.8",""
"Sports goods and services","Luxembourg","Purchasing power standard (PPS)","2010","427.6",""
"Sports goods and services","Slovenia","Purchasing power standard (PPS)","2010","339.7",""
"Sports goods and services","Finland","Purchasing power standard (PPS)","2010","609.4",""
"Major durables for outdoor recreation","Belgium","Purchasing power standard (PPS)","2010","70.9",""
"Major durables for outdoor recreation","Bulgaria","Purchasing power standard (PPS)","2010","1.8",""
"Major durables for outdoor recreation","Denmark","Purchasing power standard (PPS)","2010","63.9",""
"Major durables for outdoor recreation","Germany (until 1990 former territory of the FRG)","Purchasing power standard (PPS)","2010","54.9",""
"Major durables for outdoor recreation","Greece","Purchasing power standard (PPS)","2010","72.9",""
"Major durables for outdoor recreation","France","Purchasing power standard (PPS)","2010","59.8",""
"Major durables for outdoor recreation","Italy","Purchasing power standard (PPS)","2010","36.9",""
"Major durables for outdoor recreation","Latvia","Purchasing power standard (PPS)","2010","0.1",""
"Major durables for outdoor recreation","Luxembourg","Purchasing power standard (PPS)","2010","57.3",""
"Major durables for outdoor recreation","Slovenia","Purchasing power standard (PPS)","2010","41.6",""
"Major durables for outdoor recreation","Finland","Purchasing power standard (PPS)","2010","164.2",""
"Major durables for indoor recreation","Belgium","Purchasing power standard (PPS)","2010","25.6",""
"Major durables for indoor recreation","Bulgaria","Purchasing power standard (PPS)","2010","0",""
"Major durables for indoor recreation","Denmark","Purchasing power standard (PPS)","2010","0",""
"Major durables for indoor recreation","Germany (until 1990 former territory of the FRG)","Purchasing power standard (PPS)","2010","0",""
"Major durables for indoor recreation","Greece","Purchasing power standard (PPS)","2010","0.5",""
"Major durables for indoor recreation","France","Purchasing power standard (PPS)","2010","2.2",""
