"TIME","GEO","SEX","AGE","ISCED11","UNIT","Value","Flag and Footnotes"
"2007","Bulgaria","Total","Less than 1 year","All ISCED 2011 levels ","Year","73.0",""
"2007","Bulgaria","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","66.2",""
"2007","Bulgaria","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","75.2",""
"2007","Bulgaria","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","77.9",""
"2007","Denmark","Total","Less than 1 year","All ISCED 2011 levels ","Year","78.4",""
"2007","Denmark","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","75.9",""
"2007","Denmark","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","78.8",""
"2007","Denmark","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","80.7",""
"2007","Greece","Total","Less than 1 year","All ISCED 2011 levels ","Year",":",""
"2007","Greece","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year",":",""
"2007","Greece","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year",":",""
"2007","Greece","Total","Less than 1 year","Tertiary education (levels 5-8)","Year",":",""
"2007","Italy","Total","Less than 1 year","All ISCED 2011 levels ","Year","81.6",""
"2007","Italy","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","80.0",""
"2007","Italy","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","84.1",""
"2007","Italy","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","84.4",""
"2007","Slovenia","Total","Less than 1 year","All ISCED 2011 levels ","Year","78.4",""
"2007","Slovenia","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","74.3",""
"2007","Slovenia","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","78.6",""
"2007","Slovenia","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","81.5",""
"2007","Finland","Total","Less than 1 year","All ISCED 2011 levels ","Year","79.6",""
"2007","Finland","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","76.3",""
"2007","Finland","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","79.8",""
"2007","Finland","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","82.1",""
"2008","Bulgaria","Total","Less than 1 year","All ISCED 2011 levels ","Year","73.3",""
"2008","Bulgaria","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","66.6",""
"2008","Bulgaria","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","75.5",""
"2008","Bulgaria","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","78.1",""
"2008","Denmark","Total","Less than 1 year","All ISCED 2011 levels ","Year","78.8",""
"2008","Denmark","Total","Less than 1 year","Less than primary, primary and lower secondary education (levels 0-2)","Year","76.3",""
"2008","Denmark","Total","Less than 1 year","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Year","79.1",""
"2008","Denmark","Total","Less than 1 year","Tertiary education (levels 5-8)","Year","81.1",""
